region,municipality,students,year,metadata,city
სამცხე–ჯავახეთი,ბორჯომი,4348,2009,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4447,2009,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,21032,2009,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,8156,2009,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,15500,2009,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3542,2009,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3410,2009,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,19025,2009,,დიდი ქალაქები
ქვემო ქართლი,წალკა,4009,2009,,პატარა ქალაქები
შიდა ქართლი,გორი,21449,2009,,დიდი ქალაქები
შიდა ქართლი,კასპი,6582,2009,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,7124,2009,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,10648,2009,,10 ქალაქები
შიდა ქართლი,ერედვი,53,2009,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2009,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2009,,პატარა ქალაქები
თბილისი,თბილისი,170494,2010,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2459,2010,,აფხაზეთი
აჭარის არ,ბათუმი,22573,2010,,დიდი ქალაქები
აჭარის არ,ქედა,2882,2010,,მაღალმთიანი
აჭარის არ,ქობულეთი,12747,2010,,10 ქალაქები
აჭარის არ,შუახევი,3446,2010,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,12888,2010,,10 ქალაქები
აჭარის არ,ხულო,5441,2010,,მაღალმთიანი
გურია,ლანჩხუთი,4533,2010,,მუნიციპალიტეტები
გურია,ოზურგეთი,9733,2010,,10 ქალაქები
გურია,ჩოხატაური,3008,2010,,პატარა ქალაქები
იმერეთი,ქუთაისი,27557,2010,,დიდი ქალაქები
იმერეთი,ტყიბული,2748,2010,,პატარა ქალაქები
იმერეთი,წყალტუბო,7163,2010,,მუნიციპალიტეტები
იმერეთი,ჭიათური,6428,2010,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,3029,2010,,პატარა ქალაქები
იმერეთი,ვანი,3514,2010,,პატარა ქალაქები
იმერეთი,ზესტაფონი,9864,2010,,10 ქალაქები
იმერეთი,თერჯოლა,4780,2010,,მუნიციპალიტეტები
იმერეთი,სამტრედია,7496,2010,,მუნიციპალიტეტები
იმერეთი,საჩხერე,6131,2010,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2877,2010,,პატარა ქალაქები
იმერეთი,ხონი,3567,2010,,პატარა ქალაქები
კახეთი,ახმეტა,5754,2010,,მუნიციპალიტეტები
კახეთი,გურჯაანი,7374,2010,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3299,2010,,პატარა ქალაქები
კახეთი,თელავი,9478,2010,,10 ქალაქები
კახეთი,ლაგოდეხი,7333,2010,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7439,2010,,მუნიციპალიტეტები
კახეთი,სიღნაღი,4512,2010,,მუნიციპალიტეტები
კახეთი,ყვარლი,4544,2010,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2010,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3808,2010,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1352,2010,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,8854,2010,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,578,2010,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1322,2010,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,880,2010,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,737,2010,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1426,2010,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6452,2010,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3479,2010,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,15566,2010,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,5221,2010,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1861,2010,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,6087,2010,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,3080,2010,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,4048,2010,,მუნიციპალიტეტები
